date,tenor,yield
2021-02-22,2.0,5.0797
2021-02-22,3.0,5.5464
2021-02-22,5.0,6.221
2021-02-22,7.0,6.6165
2021-02-22,10.0,6.9553
2021-02-22,15.0,7.2308
2021-02-22,20.0,7.3667
2021-02-24,0.25,4.6027
2021-02-24,0.5,4.6264
2021-02-24,0.75,4.6781
2021-02-24,1.0,4.7486
2021-02-24,2.0,5.1318
2021-02-24,3.0,5.5527
2021-02-24,5.0,6.2007
2021-02-24,7.0,6.6014
2021-02-24,10.0,6.946
2021-02-24,15.0,7.2252
2021-02-24,20.0,7.3656
2021-02-25,0.25,4.5934
2021-02-25,0.5,4.618
2021-02-25,0.75,4.678
2021-02-25,1.0,4.7618
2021-02-25,2.0,5.2067
2021-02-25,3.0,5.6648
2021-02-25,5.0,6.3206
2021-02-25,7.0,6.6986
2021-02-25,10.0,7.013
2021-02-25,15.0,7.2717
2021-02-25,20.0,7.4048
2021-02-26,0.25,4.5845
2021-02-26,0.5,4.599
2021-02-26,0.75,4.6551
2021-02-26,1.0,4.7393
2021-02-26,2.0,5.2138
2021-02-26,3.0,5.7173
2021-02-26,5.0,6.3962
2021-02-26,7.0,6.7627
2021-02-26,10.0,7.0631
2021-02-26,15.0,7.3048
2021-02-26,20.0,7.4247
2021-03-01,0.25,4.5586
2021-03-01,0.5,4.5586
2021-03-01,0.75,4.6099
2021-03-01,1.0,4.6956
2021-03-01,2.0,5.1871
2021-03-01,3.0,5.689
2021-03-01,5.0,6.3635
2021-03-01,7.0,6.727
2021-03-01,10.0,7.0187
2021-03-01,15.0,7.2455
2021-03-01,20.0,7.3557
2021-03-02,0.25,4.6395
2021-03-02,0.5,4.6187
2021-03-02,0.75,4.6588
2021-03-02,1.0,4.7399
2021-03-02,2.0,5.2326
2021-03-02,3.0,5.726
2021-03-02,5.0,6.3538
2021-03-02,7.0,6.6759
2021-03-02,10.0,6.9419
2021-03-02,15.0,7.1679
2021-03-02,20.0,7.2881
2021-03-03,0.25,4.6375
2021-03-03,0.5,4.6149
2021-03-03,0.75,4.6515
2021-03-03,1.0,4.7244
2021-03-03,2.0,5.1723
2021-03-03,3.0,5.6361
2021-03-03,5.0,6.2618
2021-03-03,7.0,6.5978
2021-03-03,10.0,6.8658
2021-03-03,15.0,7.0824
2021-03-03,20.0,7.1944
2021-03-04,0.25,4.6378
2021-03-04,0.5,4.6065
2021-03-04,0.75,4.6412
2021-03-04,1.0,4.7171
2021-03-04,2.0,5.1846
2021-03-04,3.0,5.6507
2021-03-04,5.0,6.2465
2021-03-04,7.0,6.554
2021-03-04,10.0,6.8005
2021-03-04,15.0,6.9985
2021-03-04,20.0,7.1006
2021-03-05,0.25,4.6647
2021-03-05,0.5,4.6338
2021-03-05,0.75,4.6669
2021-03-05,1.0,4.7412
2021-03-05,2.0,5.2127
2021-03-05,3.0,5.6999
2021-03-05,5.0,6.3215
2021-03-05,7.0,6.6394
2021-03-05,10.0,6.8949
2021-03-05,15.0,7.0955
2021-03-05,20.0,7.1935
2021-03-09,0.25,4.627
2021-03-09,0.5,4.6067
2021-03-09,0.75,4.6496
2021-03-09,1.0,4.7326
2021-03-09,2.0,5.2259
2021-03-09,3.0,5.7166
2021-03-09,5.0,6.342
2021-03-09,7.0,6.6618
2021-03-09,10.0,6.9138
2021-03-09,15.0,7.1127
2021-03-09,20.0,7.2097
2021-03-10,0.25,4.6519
2021-03-10,0.5,4.6382
2021-03-10,0.75,4.6894
2021-03-10,1.0,4.7811
2021-03-10,2.0,5.3004
2021-03-10,3.0,5.8017
2021-03-10,5.0,6.4217
2021-03-10,7.0,6.7299
2021-03-10,10.0,6.9726
2021-03-10,15.0,7.1703
2021-03-10,20.0,7.2741
2021-03-11,0.25,4.7582
2021-03-11,0.5,4.7326
2021-03-11,0.75,4.7812
2021-03-11,1.0,4.8744
2021-03-11,2.0,5.3988
2021-03-11,3.0,5.8832
2021-03-11,5.0,6.4594
2021-03-11,7.0,6.7435
2021-03-11,10.0,6.9779
2021-03-11,15.0,7.1728
2021-03-11,20.0,7.2703
2021-03-12,0.25,4.7434
2021-03-12,0.5,4.7318
2021-03-12,0.75,4.7935
2021-03-12,1.0,4.8974
2021-03-12,2.0,5.4395
2021-03-12,3.0,5.9165
2021-03-12,5.0,6.4929
2021-03-12,7.0,6.7843
2021-03-12,10.0,7.0183
2021-03-12,15.0,7.2069
2021-03-12,20.0,7.3017
2021-03-15,0.25,4.8716
2021-03-15,0.5,4.86
2021-03-15,0.75,4.9139
2021-03-15,1.0,5.0081
2021-03-15,2.0,5.5175
2021-03-15,3.0,5.9792
2021-03-15,5.0,6.5401
2021-03-15,7.0,6.8192
2021-03-15,10.0,7.0383
2021-03-15,15.0,7.2168
2021-03-15,20.0,7.31
2021-03-16,0.25,4.8451
2021-03-16,0.5,4.8515
2021-03-16,0.75,4.92
2021-03-16,1.0,5.0233
2021-03-16,2.0,5.5344
2021-03-16,3.0,5.9803
2021-03-16,5.0,6.5345
2021-03-16,7.0,6.8176
2021-03-16,10.0,7.0314
2021-03-16,15.0,7.1977
2021-03-16,20.0,7.2802
2021-03-17,0.25,4.8268
2021-03-17,0.5,4.8573
2021-03-17,0.75,4.9391
2021-03-17,1.0,5.0512
2021-03-17,2.0,5.5807
2021-03-17,3.0,6.0345
2021-03-17,5.0,6.5976
2021-03-17,7.0,6.8861
2021-03-17,10.0,7.1055
2021-03-17,15.0,7.2736
2021-03-17,20.0,7.3568
2021-03-18,0.25,4.947
2021-03-18,0.5,4.9787
2021-03-18,0.75,5.0556
2021-03-18,1.0,5.1575
2021-03-18,2.0,5.6414
2021-03-18,3.0,6.0784
2021-03-18,5.0,6.6636
2021-03-18,7.0,6.9754
2021-03-18,10.0,7.1991
2021-03-18,15.0,7.3681
2021-03-18,20.0,7.4554
2021-03-19,0.25,4.9646
2021-03-19,0.5,4.9913
2021-03-19,0.75,5.0638
2021-03-19,1.0,5.1642
2021-03-19,2.0,5.6617
2021-03-19,3.0,6.1281
2021-03-19,5.0,6.7462
2021-03-19,7.0,7.0552
2021-03-19,10.0,7.2469
2021-03-19,15.0,7.3888
2021-03-19,20.0,7.47
2021-03-22,0.25,5.0463
2021-03-22,0.5,5.0755
2021-03-22,0.75,5.153
2021-03-22,1.0,5.2602
2021-03-22,2.0,5.7704
2021-03-22,3.0,6.2124
2021-03-22,5.0,6.791
2021-03-22,7.0,7.0926
2021-03-22,10.0,7.3011
2021-03-22,15.0,7.4551
2021-03-22,20.0,7.5363
2021-03-23,0.25,5.1121
2021-03-23,0.5,5.1621
2021-03-23,0.75,5.2587
2021-03-23,1.0,5.382
2021-03-23,2.0,5.9331
2021-03-23,3.0,6.3958
2021-03-23,5.0,6.9651
2021-03-23,7.0,7.2336
2021-03-23,10.0,7.3908
2021-03-23,15.0,7.5122
2021-03-23,20.0,7.584
2021-03-24,0.25,5.0253
2021-03-24,0.5,5.0925
2021-03-24,0.75,5.2024
2021-03-24,1.0,5.3335
2021-03-24,2.0,5.89
2021-03-24,3.0,6.351
2021-03-24,5.0,6.9223
2021-03-24,7.0,7.2015
2021-03-24,10.0,7.3752
2021-03-24,15.0,7.4966
2021-03-24,20.0,7.5623
2021-03-25,0.25,4.9436
2021-03-25,0.5,4.9996
2021-03-25,0.75,5.1025
2021-03-25,1.0,5.2315
2021-03-25,2.0,5.7999
2021-03-25,3.0,6.2729
2021-03-25,5.0,6.8392
2021-03-25,7.0,7.1064
2021-03-25,10.0,7.2768
2021-03-25,15.0,7.403
2021-03-25,20.0,7.4739
2021-03-26,0.25,4.7945
2021-03-26,0.5,4.8645
2021-03-26,0.75,4.9859
2021-03-26,1.0,5.1333
2021-03-26,2.0,5.7358
2021-03-26,3.0,6.1845
2021-03-26,5.0,6.7185
2021-03-26,7.0,6.9829
2021-03-26,10.0,7.1595
2021-03-26,15.0,7.2967
2021-03-26,20.0,7.3703
2021-03-29,0.25,4.7442
2021-03-29,0.5,4.818
2021-03-29,0.75,4.9415
2021-03-29,1.0,5.0904
2021-03-29,2.0,5.7019
2021-03-29,3.0,6.1667
2021-03-29,5.0,6.7181
2021-03-29,7.0,6.9881
2021-03-29,10.0,7.1641
2021-03-29,15.0,7.2859
2021-03-29,20.0,7.3499
2021-03-30,0.25,4.7599
2021-03-30,0.5,4.8523
2021-03-30,0.75,4.9898
2021-03-30,1.0,5.1496
2021-03-30,2.0,5.7805
2021-03-30,3.0,6.24
2021-03-30,5.0,6.7992
2021-03-30,7.0,7.0884
2021-03-30,10.0,7.2851
2021-03-30,15.0,7.4158
2021-03-30,20.0,7.4796
2021-03-31,0.25,4.7711
2021-03-31,0.5,4.8644
2021-03-31,0.75,4.9936
2021-03-31,1.0,5.1403
2021-03-31,2.0,5.7267
